casename,A_true,n_true,a_true,alpha,beta,A_est,n_est,a_est,alpha_est,beta_est
case179,800.0,1.1,50.0,0.95,-0.1,758.4414151498607,1.0983591718130488,47.3410103131086,0.9504008623918421,-0.09456514885234396
case180,800.0,1.1,50.0,0.95,-0.0,754.3069917918006,1.0993971282270618,46.928816818963796,0.9504917815994515,0.004956911651479891
case181,800.0,1.1,50.0,0.95,0.1,740.4142268602352,1.1010946154323935,45.88649587331331,0.9505075654119858,0.10446423617954889
case182,800.0,1.1,50.0,0.95,0.2,743.9844157164383,1.102574825439631,45.86218798783514,0.9506486185236979,0.20368059355414342
case183,800.0,1.1,50.0,0.95,0.3,743.3609934550808,1.104357418463516,45.55493797405147,0.9505960674119444,0.30280581818540536
case184,800.0,1.1,50.0,0.95,0.4,733.4366423273683,1.1056176101994364,44.83633711718638,0.9507329973655387,0.40159506407570816
case185,800.0,1.1,50.0,0.95,0.5,730.3909335899714,1.1065149928429308,44.544504433191335,0.950916713677129,0.5001176055057448
case186,800.0,1.1,50.0,0.95,0.6,726.9096980408469,1.1072602988061575,44.21995877232872,0.9510201210022852,0.5986482176629001
case187,800.0,1.1,50.0,0.95,0.7,726.3679942657134,1.1069058593084935,44.23166577391232,0.9510978686365845,0.6974669418798678
case188,800.0,1.1,50.0,0.95,0.8,729.1085151673271,1.1057843630967583,44.551427534053175,0.951133456866371,0.7970109251559756
case189,800.0,1.1,50.0,0.95,0.9,733.7398673255487,1.1055288521463118,44.839350119542715,0.9511524804288011,0.8975336681484466
case190,800.0,1.1,50.0,0.99,-0.9,794.1676850694042,1.1034893147354914,49.34761367458575,0.9875138976979424,-0.8935610921684435
case191,800.0,1.1,50.0,0.99,-0.8,795.1493397243099,1.0997244918477227,49.816246130308784,0.9877431158137104,-0.7917717964400074
case192,800.0,1.1,50.0,0.99,-0.7,799.3034544525669,1.0970187091288168,50.35594362482215,0.9883734692257702,-0.6917515913064007
case193,800.0,1.1,50.0,0.99,-0.6,801.0294797745208,1.0951937170983326,50.664678885409,0.9885264374128647,-0.5914778057725569
case194,800.0,1.1,50.0,0.99,-0.5,802.1499642946549,1.0937797632135597,50.887767330091485,0.9886288433529679,-0.4914580836862162
case195,800.0,1.1,50.0,0.99,-0.4,803.3825726929846,1.092784762451079,51.05873441783722,0.9887054796039605,-0.39161885749699443
case196,800.0,1.1,50.0,0.99,-0.3,805.0277566230761,1.092368956238762,51.17075598192307,0.9887823936021037,-0.2919274435972247
case197,800.0,1.1,50.0,0.99,-0.2,796.621305447588,1.094506216857091,50.19111845040975,0.9819685659556573,4.802560628033365e-169
case198,800.0,1.1,50.0,0.99,-0.1,798.1068506409677,1.0945113368188648,50.32512612867919,0.9862168347255543,1.3047057771869365e-12
case199,800.0,1.1,50.0,0.99,-0.0,808.0158366217719,1.0947340877541416,50.88285007033826,0.988567193460534,0.0070228040159566445
case200,800.0,1.1,50.0,0.99,0.1,809.3141797074475,1.0962525105555407,50.71618720247905,0.9889074704620567,0.1060448646811364
case201,800.0,1.1,50.0,0.99,0.2,805.2654460210953,1.0977656681642032,50.269199271396474,0.9888277713544504,0.20527620091884236
case202,800.0,1.1,50.0,0.99,0.3,812.5207407393884,1.099627622208341,50.37579472722822,0.9890015306932675,0.30407204087250034
