Atrue,ntrue,atrue,dtrue,alpha,beta
800,1.1,50,20,0.95,-0.9
800,1.1,50,20,0.95,-0.8
800,1.1,50,20,0.95,-0.7
800,1.1,50,20,0.95,-0.6
800,1.1,50,20,0.95,-0.5
800,1.1,50,20,0.95,-0.4
800,1.1,50,20,0.95,-0.3
800,1.1,50,20,0.95,-0.2
800,1.1,50,20,0.95,-0.1
800,1.1,50,20,0.95,-0.0
800,1.1,50,20,0.95,0.1
800,1.1,50,20,0.95,0.2
800,1.1,50,20,0.95,0.3
800,1.1,50,20,0.95,0.4
800,1.1,50,20,0.95,0.5
800,1.1,50,20,0.95,0.6
800,1.1,50,20,0.95,0.7
800,1.1,50,20,0.95,0.8
800,1.1,50,20,0.95,0.9
800,1.1,50,20,0.99,-0.9
800,1.1,50,20,0.99,-0.8
800,1.1,50,20,0.99,-0.7
800,1.1,50,20,0.99,-0.6
800,1.1,50,20,0.99,-0.5
800,1.1,50,20,0.99,-0.4
800,1.1,50,20,0.99,-0.3
800,1.1,50,20,0.99,-0.2
800,1.1,50,20,0.99,-0.1
800,1.1,50,20,0.99,-0.0
800,1.1,50,20,0.99,0.1
800,1.1,50,20,0.99,0.2
800,1.1,50,20,0.99,0.3
800,1.1,50,20,0.99,0.4
800,1.1,50,20,0.99,0.5
800,1.1,50,20,0.99,0.6
800,1.1,50,20,0.99,0.7
800,1.1,50,20,0.99,0.8
800,1.1,50,20,0.99,0.9
